Project Name,Package Name,Architecture Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigImplTest]; [AssetDetails404Servlet]; [AssetDetailsImpl]; [AssetDetailsResolverImpl]; [MessagesImpl; ConfigImpl]; [ConfigImpl.ActionEnablements]. LCC (Lack of Component Cohesion) = 0.86
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ServletHelperImplTest]; [OakIndexResolverTest; OakIndexResolver]; [RequireAemImplTest; RequireAemImpl; RequireAemCanary; RequireAemCanaryImpl]; [ExpressionEvaluatorImplTest]; [JsonResolverImplTest]; [ServletHelperImpl]; [JsonResolverImpl]; [MimeTypeHelperImpl]; [EmailServiceImpl]; [DataSourceBuilderImpl]; [AbstractHTLMap; ModelCacheImpl]; [ExpressionEvaluatorImpl]. LCC (Lack of Component Cohesion) = 0.71
asset-share-commons,com.adobe.aem.commons.assetshare.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.aem.commons.assetshare.content.renditions
asset-share-commons,com.adobe.aem.commons.assetshare.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PredicateUtilTest; PredicateUtil]; [UrlUtilTest; UrlUtil]; [ExpressionEvaluator]; [MimeTypeHelper]; [WorkflowUtil]; [ResourceTypeVisitor; ComponentModelVisitor]; [DataSourceBuilder]; [ServletHelper]; [JsonResolver]; [ModelCache]; [ForcedInheritanceValueMapWrapper]; [RequireAem]; [RequireAem.Distribution]; [RequireAem.ServiceType]; [EmailService]. LCC (Lack of Component Cohesion) = 0.83
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PageMetadataComponentUpdaterImplTest]; [BannerComponentUpdaterImplTest]; [AssetKitComponentUpdaterImplTest]; [AssetKitComponentUpdaterImplTest.MockHit]; [BannerComponentUpdaterImpl]; [AssetKitComponentUpdaterImpl]; [PageMetadataComponentUpdaterImpl]. LCC (Lack of Component Cohesion) = 1.0
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.aem.commons.assetshare.content.renditions.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MetadataSchemaPropertiesImplTest; MetadataSchemaPropertiesImpl]; [AssetModelImplTest; AssetModelImpl]; [CombinedPropertiesTest; CombinedProperties]; [CombinedPropertiesTest.TestWithRequestComputedProperty]; [CombinedPropertiesTest.TestWithNoRequestComputedProperty]; [MetadataSchemaPropertiesImpl.MetadataSchemaResourceVisitor]; [AssetResolverImpl]; [CombinedProperties.ComputedPropertyParameter]. LCC (Lack of Component Cohesion) = 0.73
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.content.impl; com.adobe.aem.commons.assetshare.content.renditions.impl; com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.content.impl; com.adobe.aem.commons.assetshare.content.properties.impl; com.adobe.aem.commons.assetshare.content.renditions.impl; com.adobe.aem.commons.assetshare.content.impl
asset-share-commons,com.adobe.aem.commons.assetshare.content.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.aem.commons.assetshare.content.impl; com.adobe.aem.commons.assetshare.content.renditions.impl; com.adobe.aem.commons.assetshare.content.renditions; com.adobe.aem.commons.assetshare.content.impl
